2
w/o
running on cuda0
Files already downloaded and verified
Files already downloaded and verified
path=./exp_result_2048_2/cifar10/main_task_acc.txt
Epoch 24% 	 train_loss:0.00 train_acc:1.00 test_acc:0.78
Epoch 25% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 26% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 27% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 28% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 29% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
time used = 229.17412447929382
DP-L
running on cuda0
Files already downloaded and verified
Files already downloaded and verified
path=./exp_result_2048_2/cifar10/Laplace/main_task_acc.txt
Epoch 0% 	 train_loss:1.50 train_acc:0.46 test_acc:0.22
Epoch 1% 	 train_loss:1.24 train_acc:0.58 test_acc:0.50
Epoch 2% 	 train_loss:1.02 train_acc:0.64 test_acc:0.58
Epoch 3% 	 train_loss:0.87 train_acc:0.70 test_acc:0.60
Epoch 4% 	 train_loss:0.69 train_acc:0.77 test_acc:0.65
Epoch 5% 	 train_loss:0.54 train_acc:0.80 test_acc:0.67
Epoch 6% 	 train_loss:0.43 train_acc:0.85 test_acc:0.57
Epoch 7% 	 train_loss:0.29 train_acc:0.90 test_acc:0.68
Epoch 8% 	 train_loss:0.27 train_acc:0.90 test_acc:0.63
Epoch 9% 	 train_loss:0.18 train_acc:0.94 test_acc:0.68
Epoch 10% 	 train_loss:0.13 train_acc:0.96 test_acc:0.66
Epoch 11% 	 train_loss:0.12 train_acc:0.96 test_acc:0.62
Epoch 12% 	 train_loss:0.10 train_acc:0.97 test_acc:0.73
Epoch 13% 	 train_loss:0.06 train_acc:0.98 test_acc:0.68
Epoch 14% 	 train_loss:0.04 train_acc:0.99 test_acc:0.70
Epoch 15% 	 train_loss:0.03 train_acc:0.99 test_acc:0.73
Epoch 16% 	 train_loss:0.02 train_acc:1.00 test_acc:0.74
Epoch 17% 	 train_loss:0.02 train_acc:1.00 test_acc:0.75
Epoch 18% 	 train_loss:0.01 train_acc:1.00 test_acc:0.76
Epoch 19% 	 train_loss:0.00 train_acc:1.00 test_acc:0.78
Epoch 20% 	 train_loss:0.00 train_acc:1.00 test_acc:0.78
Epoch 21% 	 train_loss:0.00 train_acc:1.00 test_acc:0.77
Epoch 22% 	 train_loss:0.00 train_acc:1.00 test_acc:0.78
Epoch 23% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 24% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 25% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
Epoch 26% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 27% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 28% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
Epoch 29% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
time used = 236.7690155506134
Epoch 0% 	 train_loss:1.50 train_acc:0.45 test_acc:0.24
Epoch 1% 	 train_loss:1.28 train_acc:0.52 test_acc:0.43
Epoch 2% 	 train_loss:1.02 train_acc:0.63 test_acc:0.57
Epoch 3% 	 train_loss:0.82 train_acc:0.70 test_acc:0.66
Epoch 4% 	 train_loss:0.66 train_acc:0.76 test_acc:0.66
Epoch 5% 	 train_loss:0.51 train_acc:0.83 test_acc:0.67
Epoch 6% 	 train_loss:0.41 train_acc:0.87 test_acc:0.67
Epoch 7% 	 train_loss:0.28 train_acc:0.91 test_acc:0.65
Epoch 8% 	 train_loss:0.26 train_acc:0.91 test_acc:0.70
Epoch 9% 	 train_loss:0.19 train_acc:0.94 test_acc:0.65
Epoch 10% 	 train_loss:0.14 train_acc:0.96 test_acc:0.65
Epoch 11% 	 train_loss:0.11 train_acc:0.97 test_acc:0.69
Epoch 12% 	 train_loss:0.09 train_acc:0.97 test_acc:0.68
Epoch 13% 	 train_loss:0.08 train_acc:0.97 test_acc:0.64
Epoch 14% 	 train_loss:0.05 train_acc:0.98 test_acc:0.68
Epoch 15% 	 train_loss:0.04 train_acc:0.98 test_acc:0.73
Epoch 16% 	 train_loss:0.04 train_acc:0.99 test_acc:0.69
Epoch 17% 	 train_loss:0.02 train_acc:1.00 test_acc:0.73
Epoch 18% 	 train_loss:0.02 train_acc:1.00 test_acc:0.74
Epoch 19% 	 train_loss:0.01 train_acc:1.00 test_acc:0.75
Epoch 20% 	 train_loss:0.01 train_acc:1.00 test_acc:0.75
Epoch 21% 	 train_loss:0.01 train_acc:1.00 test_acc:0.76
Epoch 22% 	 train_loss:0.00 train_acc:1.00 test_acc:0.77
Epoch 23% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 24% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
Epoch 25% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
Epoch 26% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
Epoch 27% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
Epoch 28% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
Epoch 29% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
time used = 235.67849278450012
Epoch 0% 	 train_loss:1.56 train_acc:0.45 test_acc:0.23
Epoch 1% 	 train_loss:1.28 train_acc:0.55 test_acc:0.48
Epoch 2% 	 train_loss:1.08 train_acc:0.62 test_acc:0.57
Epoch 3% 	 train_loss:0.89 train_acc:0.68 test_acc:0.62
Epoch 4% 	 train_loss:0.74 train_acc:0.74 test_acc:0.65
Epoch 5% 	 train_loss:0.55 train_acc:0.80 test_acc:0.68
Epoch 6% 	 train_loss:0.44 train_acc:0.87 test_acc:0.67
Epoch 7% 	 train_loss:0.33 train_acc:0.90 test_acc:0.66
Epoch 8% 	 train_loss:0.25 train_acc:0.90 test_acc:0.65
Epoch 9% 	 train_loss:0.20 train_acc:0.94 test_acc:0.66
Epoch 10% 	 train_loss:0.14 train_acc:0.96 test_acc:0.72
Epoch 11% 	 train_loss:0.12 train_acc:0.96 test_acc:0.67
Epoch 12% 	 train_loss:0.12 train_acc:0.96 test_acc:0.69
Epoch 13% 	 train_loss:0.06 train_acc:0.98 test_acc:0.73
Epoch 14% 	 train_loss:0.06 train_acc:0.98 test_acc:0.70
Epoch 15% 	 train_loss:0.04 train_acc:0.99 test_acc:0.73
Epoch 16% 	 train_loss:0.02 train_acc:1.00 test_acc:0.74
Epoch 17% 	 train_loss:0.02 train_acc:1.00 test_acc:0.73
Epoch 18% 	 train_loss:0.02 train_acc:0.99 test_acc:0.73
Epoch 19% 	 train_loss:0.01 train_acc:1.00 test_acc:0.73
Epoch 20% 	 train_loss:0.01 train_acc:1.00 test_acc:0.76
Epoch 21% 	 train_loss:0.01 train_acc:1.00 test_acc:0.77
Epoch 22% 	 train_loss:0.00 train_acc:1.00 test_acc:0.77
Epoch 23% 	 train_loss:0.00 train_acc:1.00 test_acc:0.78
Epoch 24% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 25% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 26% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 27% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
Epoch 28% 	 train_loss:0.00 train_acc:1.00 test_acc:0.79
Epoch 29% 	 train_loss:0.00 train_acc:1.00 test_acc:0.80
time used = 239.3855059146881
mid
running on cuda0
Files already downloaded and verified
Files already downloaded and verified
path=./exp_result_2048_2/cifar10/MID/main_task_acc.txt
Epoch 0% 	 train_loss:2.70 train_acc:0.40 test_acc:0.24
Epoch 1% 	 train_loss:1.43 train_acc:0.53 test_acc:0.48
Epoch 2% 	 train_loss:1.26 train_acc:0.61 test_acc:0.54
Epoch 3% 	 train_loss:1.17 train_acc:0.69 test_acc:0.60
Epoch 4% 	 train_loss:1.19 train_acc:0.76 test_acc:0.62
Epoch 5% 	 train_loss:1.10 train_acc:0.81 test_acc:0.63
Epoch 6% 	 train_loss:1.23 train_acc:0.87 test_acc:0.60
Epoch 7% 	 train_loss:1.00 train_acc:0.88 test_acc:0.68
Epoch 8% 	 train_loss:1.41 train_acc:0.90 test_acc:0.62
Epoch 9% 	 train_loss:1.28 train_acc:0.94 test_acc:0.65
Epoch 10% 	 train_loss:1.43 train_acc:0.94 test_acc:0.65
Epoch 11% 	 train_loss:1.46 train_acc:0.97 test_acc:0.65
Epoch 12% 	 train_loss:1.38 train_acc:0.97 test_acc:0.66
Epoch 13% 	 train_loss:1.15 train_acc:0.97 test_acc:0.69
Epoch 14% 	 train_loss:1.56 train_acc:0.97 test_acc:0.67
Epoch 15% 	 train_loss:1.28 train_acc:0.98 test_acc:0.72
Epoch 16% 	 train_loss:1.13 train_acc:0.99 test_acc:0.74
Epoch 17% 	 train_loss:1.28 train_acc:0.98 test_acc:0.74
Epoch 18% 	 train_loss:1.26 train_acc:0.99 test_acc:0.74
Epoch 19% 	 train_loss:1.18 train_acc:0.99 test_acc:0.75
Epoch 20% 	 train_loss:1.42 train_acc:1.00 test_acc:0.73
Epoch 21% 	 train_loss:1.17 train_acc:1.00 test_acc:0.76
Epoch 22% 	 train_loss:1.15 train_acc:1.00 test_acc:0.76
Epoch 23% 	 train_loss:1.25 train_acc:1.00 test_acc:0.78
Epoch 24% 	 train_loss:1.10 train_acc:1.00 test_acc:0.79
Epoch 25% 	 train_loss:1.14 train_acc:1.00 test_acc:0.79
Epoch 26% 	 train_loss:1.05 train_acc:1.00 test_acc:0.80
Epoch 27% 	 train_loss:1.05 train_acc:1.00 test_acc:0.80
Epoch 28% 	 train_loss:1.05 train_acc:1.00 test_acc:0.80
Epoch 29% 	 train_loss:1.05 train_acc:1.00 test_acc:0.80
time used = 241.51321744918823
Epoch 0% 	 train_loss:2.29 train_acc:0.44 test_acc:0.29
Epoch 1% 	 train_loss:1.38 train_acc:0.57 test_acc:0.50
Epoch 2% 	 train_loss:1.28 train_acc:0.61 test_acc:0.56
Epoch 3% 	 train_loss:1.15 train_acc:0.69 test_acc:0.61
Epoch 4% 	 train_loss:1.01 train_acc:0.78 test_acc:0.66
Epoch 5% 	 train_loss:0.96 train_acc:0.84 test_acc:0.67
Epoch 6% 	 train_loss:1.04 train_acc:0.89 test_acc:0.66
Epoch 7% 	 train_loss:1.32 train_acc:0.90 test_acc:0.64
Epoch 8% 	 train_loss:1.65 train_acc:0.93 test_acc:0.58
Epoch 9% 	 train_loss:1.36 train_acc:0.93 test_acc:0.66
