4
DP-L
running on cuda0
Files already downloaded and verified
Files already downloaded and verified
path=./exp_result_2048_4/cifar10/Laplace/main_task_acc.txt
Epoch 24% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 25% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 26% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 27% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 28% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 29% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 30% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 31% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 32% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 33% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 34% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 35% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 36% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 37% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 38% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 39% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 40% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 41% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 42% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 43% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 44% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 45% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 46% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 47% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 48% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 49% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 50% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 51% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 52% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 53% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 54% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 55% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 56% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 57% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 58% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 59% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
time used = 505.7929663658142
Epoch 0% 	 train_loss:1.67 train_acc:0.42 test_acc:0.20
Epoch 1% 	 train_loss:1.23 train_acc:0.54 test_acc:0.53
Epoch 2% 	 train_loss:1.05 train_acc:0.61 test_acc:0.58
Epoch 3% 	 train_loss:0.86 train_acc:0.68 test_acc:0.62
Epoch 4% 	 train_loss:0.66 train_acc:0.76 test_acc:0.64
Epoch 5% 	 train_loss:0.50 train_acc:0.84 test_acc:0.63
Epoch 6% 	 train_loss:0.39 train_acc:0.86 test_acc:0.64
Epoch 7% 	 train_loss:0.25 train_acc:0.92 test_acc:0.62
Epoch 8% 	 train_loss:0.22 train_acc:0.92 test_acc:0.64
Epoch 9% 	 train_loss:0.18 train_acc:0.94 test_acc:0.62
Epoch 10% 	 train_loss:0.14 train_acc:0.95 test_acc:0.60
Epoch 11% 	 train_loss:0.10 train_acc:0.97 test_acc:0.64
Epoch 12% 	 train_loss:0.10 train_acc:0.97 test_acc:0.68
Epoch 13% 	 train_loss:0.04 train_acc:0.99 test_acc:0.68
Epoch 14% 	 train_loss:0.03 train_acc:0.99 test_acc:0.69
Epoch 15% 	 train_loss:0.04 train_acc:0.99 test_acc:0.69
Epoch 16% 	 train_loss:0.03 train_acc:0.99 test_acc:0.68
Epoch 17% 	 train_loss:0.01 train_acc:1.00 test_acc:0.72
Epoch 18% 	 train_loss:0.01 train_acc:1.00 test_acc:0.73
Epoch 19% 	 train_loss:0.01 train_acc:1.00 test_acc:0.70
Epoch 20% 	 train_loss:0.01 train_acc:1.00 test_acc:0.72
Epoch 21% 	 train_loss:0.00 train_acc:1.00 test_acc:0.73
Epoch 22% 	 train_loss:0.00 train_acc:1.00 test_acc:0.73
Epoch 23% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 24% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 25% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 26% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 27% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 28% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 29% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 30% 	 train_loss:0.00 train_acc:1.00 test_acc:0.76
Epoch 31% 	 train_loss:0.00 train_acc:1.00 test_acc:0.76
Epoch 32% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 33% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 34% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 35% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 36% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 37% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 38% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 39% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 40% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 41% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 42% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 43% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 44% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 45% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 46% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 47% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 48% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 49% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 50% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 51% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 52% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 53% 	 train_loss:0.00 train_acc:1.00 test_acc:0.74
Epoch 54% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 55% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 56% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 57% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 58% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
Epoch 59% 	 train_loss:0.00 train_acc:1.00 test_acc:0.75
time used = 506.55280447006226
mid
running on cuda0
Files already downloaded and verified
Files already downloaded and verified
path=./exp_result_2048_4/cifar10/MID/main_task_acc.txt
Epoch 0% 	 train_loss:2.41 train_acc:0.46 test_acc:0.27
Epoch 1% 	 train_loss:1.64 train_acc:0.53 test_acc:0.43
Epoch 2% 	 train_loss:1.24 train_acc:0.62 test_acc:0.56
Epoch 3% 	 train_loss:1.19 train_acc:0.66 test_acc:0.58
Epoch 4% 	 train_loss:1.26 train_acc:0.73 test_acc:0.57
Epoch 5% 	 train_loss:1.18 train_acc:0.82 test_acc:0.62
Epoch 6% 	 train_loss:1.17 train_acc:0.85 test_acc:0.62
Epoch 7% 	 train_loss:1.21 train_acc:0.86 test_acc:0.62
Epoch 8% 	 train_loss:1.39 train_acc:0.92 test_acc:0.60
Epoch 9% 	 train_loss:1.70 train_acc:0.92 test_acc:0.58
Epoch 10% 	 train_loss:1.45 train_acc:0.91 test_acc:0.62
Epoch 11% 	 train_loss:1.60 train_acc:0.95 test_acc:0.62
Epoch 12% 	 train_loss:1.74 train_acc:0.97 test_acc:0.61
Epoch 13% 	 train_loss:1.58 train_acc:0.97 test_acc:0.64
Epoch 14% 	 train_loss:1.97 train_acc:0.95 test_acc:0.60
Epoch 15% 	 train_loss:1.61 train_acc:0.98 test_acc:0.64
Epoch 16% 	 train_loss:1.85 train_acc:0.99 test_acc:0.63
Epoch 17% 	 train_loss:1.71 train_acc:1.00 test_acc:0.65
Epoch 18% 	 train_loss:1.75 train_acc:1.00 test_acc:0.67
Epoch 19% 	 train_loss:1.89 train_acc:1.00 test_acc:0.67
Epoch 20% 	 train_loss:1.91 train_acc:1.00 test_acc:0.66
Epoch 21% 	 train_loss:1.82 train_acc:1.00 test_acc:0.67
Epoch 22% 	 train_loss:1.87 train_acc:1.00 test_acc:0.68
Epoch 23% 	 train_loss:1.82 train_acc:1.00 test_acc:0.68
Epoch 24% 	 train_loss:1.85 train_acc:1.00 test_acc:0.68
Epoch 25% 	 train_loss:1.90 train_acc:1.00 test_acc:0.68
Epoch 26% 	 train_loss:1.88 train_acc:1.00 test_acc:0.69
Epoch 27% 	 train_loss:1.85 train_acc:1.00 test_acc:0.70
